name,confidence,source_type,notes
autogen,medium,docs+announcements,Initial seed; verify against current docs
langchain-langgraph,medium,docs+announcements,Initial seed; verify against current docs
crewai,medium,docs+announcements,Initial seed; verify against current docs
pydantic-ai,medium,docs+announcements,Initial seed; verify against current docs
openai-agents-sdk,medium,docs+announcements,Initial seed; verify against current docs
smolagents,medium,docs+announcements,Initial seed; verify against current docs
aider,medium,docs+announcements,Initial seed; verify against current docs
codex-cli,medium,docs+announcements,Initial seed; verify against current docs
claude-code,medium,docs+announcements,Initial seed; verify against current docs
goose,medium,docs+announcements,Initial seed; verify against current docs
dagger-agents,medium,docs+announcements,Initial seed; verify against current docs
prefect-agents,medium,docs+announcements,Initial seed; verify against current docs
camunda-ai-agent,medium,docs+announcements,Initial seed; verify against current docs
temporal-agents,medium,docs+announcements,Initial seed; verify against current docs
swe-bench-harness,medium,docs+announcements,Initial seed; verify against current docs
inspect-ai,medium,docs+announcements,Initial seed; verify against current docs
agno,medium,docs+announcements,Initial seed; verify against current docs
llamaindex-workflows,medium,docs+announcements,Initial seed; verify against current docs
haystack-agents,medium,docs+announcements,Initial seed; verify against current docs
semantic-kernel,medium,docs+announcements,Initial seed; verify against current docs
spring-ai,medium,docs+announcements,Initial seed; verify against current docs
quarkus-langchain4j,medium,docs+announcements,Initial seed; verify against current docs
dapr-agents,medium,docs+announcements,Initial seed; verify against current docs
bee-agent-framework,medium,docs+announcements,Initial seed; verify against current docs
langroid,medium,docs+announcements,Initial seed; verify against current docs
controlflow,medium,docs+announcements,Initial seed; verify against current docs
arcade-ai,medium,docs+announcements,Initial seed; verify against current docs
vercel-ai-sdk,medium,docs+announcements,Initial seed; verify against current docs
agentkit,medium,docs+announcements,Initial seed; verify against current docs
memgpt,medium,docs+announcements,Initial seed; verify against current docs
letta,medium,docs+announcements,Initial seed; verify against current docs
gpt-researcher,medium,docs+announcements,Initial seed; verify against current docs
metagpt,medium,docs+announcements,Initial seed; verify against current docs
autogpt,medium,docs+announcements,Initial seed; verify against current docs
babyagi,medium,docs+announcements,Initial seed; verify against current docs
superagi,medium,docs+announcements,Initial seed; verify against current docs
taskweaver,medium,docs+announcements,Initial seed; verify against current docs
openmanus,medium,docs+announcements,Initial seed; verify against current docs
owl,medium,docs+announcements,Initial seed; verify against current docs
camel,medium,docs+announcements,Initial seed; verify against current docs
magentic-one,medium,docs+announcements,Initial seed; verify against current docs
google-adk,medium,docs+announcements,Initial seed; verify against current docs
praisonai,medium,docs+announcements,Initial seed; verify against current docs
n8n-ai-agent,medium,docs+announcements,Initial seed; verify against current docs
zapier-central,medium,docs+announcements,Initial seed; verify against current docs
relevance-ai,medium,docs+announcements,Initial seed; verify against current docs
vectorshift,medium,docs+announcements,Initial seed; verify against current docs
griptape,medium,docs+announcements,Initial seed; verify against current docs
ellipsis,medium,docs+announcements,Initial seed; verify against current docs
e2b,medium,docs+announcements,Initial seed; verify against current docs
swe-agent,medium,docs+announcements,Initial seed; verify against current docs
devin-api,medium,docs+announcements,Initial seed; verify against current docs
openhands,medium,docs+announcements,Initial seed; verify against current docs
composio,medium,docs+announcements,Initial seed; verify against current docs
wordware,medium,docs+announcements,Initial seed; verify against current docs
mastra,medium,docs+announcements,Initial seed; verify against current docs
rivet,medium,docs+announcements,Initial seed; verify against current docs
gumloop,medium,docs+announcements,Initial seed; verify against current docs
continue,medium,docs+announcements,Initial seed; verify against current docs
cody,medium,docs+announcements,Initial seed; verify against current docs
amazon-q-developer,medium,docs+announcements,Initial seed; verify against current docs
codeium-windsurf,medium,docs+announcements,Initial seed; verify against current docs
github-copilot-agent,medium,docs+announcements,Initial seed; verify against current docs
roo-cline,medium,docs+announcements,Initial seed; verify against current docs
cursor-composer,medium,docs+announcements,Initial seed; verify against current docs
tabnine-chat,medium,docs+announcements,Initial seed; verify against current docs
agentboard,medium,docs+announcements,Initial seed; verify against current docs
mint,medium,docs+announcements,Initial seed; verify against current docs
gaia-harness,medium,docs+announcements,Initial seed; verify against current docs
webarena-harness,medium,docs+announcements,Initial seed; verify against current docs
osworld-harness,medium,docs+announcements,Initial seed; verify against current docs
toolbench-harness,medium,docs+announcements,Initial seed; verify against current docs
